634,"Subject: christmas tree farm pictures
",ham
645,"Subject: lst rev dec . 1999 josey ranch nom
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by susan d trevino / hou / ect on 12 / 15 / 99 08 : 40
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
bob withers on 12 / 14 / 99 05 : 11 : 06 pm
to : susan d trevino / hou / ect @ ect
cc : stretch brennan , kevin mclarney ,
"" taylor vance ( e - mail ) ""
subject : lst rev dec . 1999 josey ranch nom
susan : as we discussed , this change was missed but was discussed with you
last week . i apologize for the omission . i am checking with my field
personnel and anticipate a further reduction ( due to well production
decreases ) effective 12 / 15 which i will send under a separate email for an
"" intra - day "" change wednesday .
here ' s revised december 1999 ( effective 12 / 9 / 99 ) setup for
josey : ( using 1 . 081 btu / mcf )
* gas deliveries into hpl
12 , 300 mmbtu / d for kri ( net reduction of
1 , 000 mmbtu / d )
12 , 300 mmbtu / d into hpl
bob withers > <
kcs energy , 5555 san felipe , suite 1200
houston , tx 77056
voice mail / page 713 - 964 - 9434",ham
646,"Subject: 2 nd rev dec . 1999 josey ranch nom
- - - - - - - - - - - - - - - - - - - - - - forwarded by susan d trevino / hou / ect on 12 / 15 / 99 08 : 41
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
bob withers on 12 / 15 / 99 08 : 28 : 08 am
to : susan d trevino / hou / ect @ ect
cc : stretch brennan , kevin mclarney ,
"" ' taylor vance ( e - mail ) ' ""
subject : 2 nd rev dec . 1999 josey ranch nom
here ' s revised december 1999 ( effective 12 / 15 / 99 ) setup for
josey : ( using 1 . 081 btu / mcf )
* gas deliveries into hpl
9 , 300 mmbtu / d for kri ( net reduction of
3 , 000 mmbtu / d )
9 , 300 mmbtu / d into hpl
bob withers > <
kcs energy , 5555 san felipe , suite 1200
houston , tx 77056
voice mail / page 713 - 964 - 9434",ham
647,"Subject: unify close schedule
the following is the close schedule for this coming month ( year - end . ) please
keep in the mind the following key times . . . .
unify to sitara bridge back 1 : 45 p . m . thursday , dec 30 th ( all errors must be
clear by this time )
mass draft at 6 p . m . thursday evening , dec 30 th .
accrual process begins friday morning , dec 31 st at 6 : 30 a . m . ( if your group
impacts the accrual , please ensure that the necessary people are available
for support if needed , as this is an enron holiday . )
please feel free to contact me should you have any questions .
thank you , melissa x 35615",ham
648,"Subject: meter 1431 - nov 1999
aimee ,
sitara deal 92943 for meter 1431 has expired on oct 31 , 1999 . settlements
is unable to draft an invoice for this deal . this deal either needs to be
extended or a new deal needs to be set up . please let me know when this is
resolved . we need it resolved by friday , dec 17 .
hc",ham
649,"Subject: meter 1431 - nov 1999
daren -
could you please resolve this issue for howard ? i will be out of the office
the next two days .
when this is done , please let george know . thanks .
aimee
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 12 / 15 / 99 01 : 27 pm
- - - - - - - - - - - - - - - - - - - - - - - - - - -
howard b camp
12 / 15 / 99 01 : 01 pm
to : aimee lannou / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , stacey neuweiler / hou / ect @ ect , mary m
smith / hou / ect @ ect
subject : meter 1431 - nov 1999
aimee ,
sitara deal 92943 for meter 1431 has expired on oct 31 , 1999 . settlements
is unable to draft an invoice for this deal . this deal either needs to be
extended or a new deal needs to be set up . please let me know when this is
resolved . we need it resolved by friday , dec 17 .
hc",ham
650,"Subject: y 2 k - texas log
name home pager
george grant 281 - 282 - 9084 713 - 764 - 5128
charlotte hawkins 281 - 655 - 0952 713 - 506 - 4006
aimee lannou 713 - 594 - 6562 713 - 698 - 7722
robert lloyd 281 - 847 - 2808 713 - 698 - 5446
stella morris 281 - 448 - 9067 713 - 200 - 8376
susan trevino 713 - 688 - 6186 713 - 200 - 8368
kim vaughn 281 - 586 - 0910 713 - 761 - 8153
jackie young 713 - 528 - 4562 713 - 990 - 6400
carlos rodriguez 281 - 344 - 0991 713 - 761 - 2722
mandy allen 281 - 970 - 6561 713 - 990 - 8332",ham
651,"Subject: re : lyondell citgo
my latest understanding is the buyback will be in place through 12 / 31 / 99 .
a new deal for 15 , 000 / day begins 1 / 1 / 00 and currently has no buyback
provision .
ken
howard b camp
12 / 16 / 99 12 : 27 pm
to : gary w lamphier / hou / ect @ ect
cc : kenneth seaman / hou / ect @ ect , kristen j hanson / hou / ect @ ect , tina
valadez / hou / ect @ ect , howard b camp / hou / ect @ ect
subject : lyondell citgo
gary ,
i have been notified that there is a possibility that the buyback was not
effective for lyondell citgo . could you please inform me via cc mail what
the status of the buyback is once you have reviewed it .
hc",ham
652,"Subject: hpl fuel gas buy - back for december 1999
fyi :
- - - - - - - - - - - - - - - - - - - - - - forwarded by gregg lenart / hou / ect on 12 / 16 / 99 02 : 02 pm
- - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : sally shuler @ enron 12 / 16 / 99 01 : 55 pm
to : gregg lenart / hou / ect @ ect
cc :
subject : hpl fuel gas buy - back for december 1999
- - - - - - - - - - - - - - - - - - - - - - forwarded by sally shuler / gpgfin / enron on 12 / 16 / 99
02 : 02 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
michael mitcham
12 / 16 / 99 01 : 45 pm
to : james prentice / gpgfin / enron @ enron , kerry roper / gpgfin / enron @ enron , sally
shuler / gpgfin / enron @ enron , mark diedrich / gpgfin / enron @ enron , paul
fox / ecf / enron @ enron
cc :
subject : hpl fuel gas buy - back for december 1999
egp fuels fuels co . has sold back 7 , 000 mmbtu / day starting 12 / 17 through
12 / 31 to hpl at $ 2 . 50 mmbtu .
if anyone has any questions , please let me know .
thanks",ham
653,"Subject: ua 4 - meter 1441 for 11 / 97 - falfurrias
daren - i need your help in resolving this issue . there wasn ' t any deal in
oss for the above reference meter , nor could i find anything in cpr . the
contract shows 089 - 41500 - 102 representing a sale in the amount of 9448 .
thanks , stella",ham
654,"Subject: ua 4 for meter 8608 - 6 / 98 - deal 96731
daren - deal 96731 is not in cpr for 6 / 98 or oss . please enter deal for
sale on contract 078 - 15631 - 102 for 17 , 462 mmbtu .
thanks , stella",ham
655,"Subject: january spot tickets
daren ,
hplc is purchasing gas from the following list of producers . this
production is currently being purchased on a spot basis and deal tickets
should be entered into sitara for the follow :
counterparty meter mmbtu / d price
engage energy us , lp 5839 600 100 % less $ 0 . 18
engage energy us , lp 5848 500 100 % less $ 0 . 18
engage energy us , lp 5923 700 100 % less $ 0 . 18
engage energy us , lp 6801 1 , 100 100 % less $ 0 . 18
gasper rice resources , ltd . 9810 1 100 % less $ 0 . 11
prize resources 4028 1 , 300 100 % less $ 0 . 20
prize resources 4965 200 100 % less $ 0 . 35
prize resources 5121 800 100 % less $ 0 . 11
prize resources 6523 40 100 % less $ 0 . 35
swift energy 2630 20 90 % less $ 0 . 258
whiting petroleum 6523 500 ? ? ?
additionally , i asked carlos to search sitara for what would be essentially
be a spot ticket for the incremental volumes delivered to meter 9610 ( cage
ranch ) for the production month of november . i ' ve received executed paper
from coastal documenting a purchase price of 100 % of gas daily less a gpm
sliding scale . please confirm whether or not a sitara ticket has been
generated . if not , please use this e - mail as a request to do so .
thanks ,
vlt
x 3 - 6353",ham
656,"Subject: pennzenergy property details
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 12 / 17 / 99 04 : 03
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
dscottl @ . com on 12 / 14 / 99 10 : 56 : 01 am
to : ami chokshi / corp / enron @ enron
cc :
subject : pennzenergy property details
ami , attached is some more details on the devon south texas properties . let
me
know if you have any questions .
david
- devon stx . xls",ham
657,"Subject: miscellaneous
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 12 / 17 / 99 03 : 46
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
dscottl @ . com on 12 / 17 / 99 03 : 34 : 44 pm
to : ami chokshi / corp / enron @ enron
cc :
subject : miscellaneous
sorry i ' m just now getting back to you . here are some answers to your
questions .
waskom is a field in east texas ( harrison county ) where we purchase gas from
pennzenergy at the bryson c . p . and jeter # 2 wells . the gas is termed up to
new
waskom gas gathering ( nwgg ) through june 2001 ( the term of the pennzenergy
purchase ) . we then buy the gas back from nwgg into our tetco east texas pool
. . . also termed up through 6 / 01 .
virginia field used to be associated with ngpl , but several years ago
pennzenergy worked out a processing arrangement with corpus christi gas
gathering , so the gas is now termed up with ccgm through 6 / 01 . . . priced off
of
the houston ship channel .
jennings ranch used to flow into ngpl through a gathering line , but a couple
of
years ago ngpl sold that line to midcon texas , so we now handle it as another
midcon texas property . sometimes we sell it at the meter to midcon texas
( kn ) ,
and sometimes we ship it through midcon to our ngpl south texas pool .
carthage : altra picks up their gas in their cartwheel agreement . the
agreement we nominate on is also a cartwheel agreement . it is not much
different than a hub agreement , except it allows title tracking . tgt on the
whiteboard refers to texas gas . . . east ohio takes their gas into texas gas on
a couple of different transport contracts .
let me know if you have more questions .
david",ham
658,"Subject: re : purge of old contract _ event _ status
fyi - what do you all think ?
- - - - - - - - - - - - - - - - - - - - - - forwarded by brenda f herod / hou / ect on 12 / 20 / 99 08 : 19
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : dave nommensen on 12 / 17 / 99 05 : 29 pm
to : scotty gilbert / hou / ect @ ect
cc : george smith / hou / ect @ ect , edward terry / hou / ect @ ect , katherine l
kelly / hou / ect @ ect , bryce baxter / hou / ect @ ect , randall l gay / hou / ect @ ect ,
brenda f herod / hou / ect @ ect , richard pinion / hou / ect @ ect
subject : re : purge of old contract _ event _ status
just to clarify , its not the relative age of the production date , but the age
of the event itself .
d . n .
to : george smith , edward terry / hou / ect @ ect , katherine l kelly / hou / ect @ ect ,
bryce baxter / hou / ect @ ect , randall l gay / hou / ect @ ect , brenda f
herod / hou / ect @ ect
cc : richard pinion / hou / ect @ ect , dave nommensen / hou / ect @ ect
subject : re : purge of old contract _ event _ status
do any of you see a problem with limiting this to the current month or
current month + 1
need to know soon
scotty
from : dave nommensen 12 / 17 / 99 03 : 25 pm
to : scotty gilbert / hou / ect @ ect , richard pinion / hou / ect @ ect
cc : trisha luong / hou / ect @ ect , benedicta tung / hou / ect @ ect , diane e
niestrath / hou / ect @ ect , dave mcmullan / hou / ect @ ect
subject : purge of old contract _ event _ status
scotty / richard ,
our dbas would like to see what we can do to reduce the qty of rows in
contract _ event _ status . we have over 1 gig of data in that table . i would
like to suggest we have a nightly or weekly or monthly process to delete any
row with a last _ mod _ date over a month ( or two ) old . so if someone balances
february 1999 this month , we will keep it around for a month ( or two ) .
does any one else have a desire to keep this data for a shorter / longer period
of time ?
this is not an audit table . this is just a "" log "" every nom / track / balance / edi
send / fax send / sched qty / quick response since the beginning of time .
d . n .",ham
659,"Subject: out on vacation
fyi ,
i will be out of the office ( actually out of the country ) starting from
22 nd of dec 1999 through the 20 th of jan 2000 . i will be back in the
office on the 21 st of jan 2000 .
in my absence please contact the following persons for any pops
support questions / problems :
christine pham ext 34202
shawn macphail ext 31837
pops support pager : 713 - 796 - 4149 ( pages oncall personell )
pops support cellular : 713 - 562 - 2458 ( oncall person carries this cell phone )
have a great holiday season ,
romeo d ' souza",ham
